,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_1_AutoML_20190419_130933,1,1.51E-17,0,9.10E-16,8.28E-31
1,GBM_4_AutoML_20190419_130933,1,2.09E-16,0,1.37E-14,1.87E-28
2,GBM_3_AutoML_20190419_130933,1,4.53E-17,0,2.67E-15,7.15E-30
3,GBM_grid_1_AutoML_20190419_130933_model_2,1,0.004066603,0,0.016303629,0.000265808
4,GLM_grid_1_AutoML_20190419_130933_model_1,1,0.001998089,0,0.007838305,6.14E-05
5,GBM_grid_1_AutoML_20190419_130933_model_4,1,4.43E-06,0,0.00029154,8.50E-08
6,GBM_5_AutoML_20190419_130933,1,3.70E-13,0,9.73E-12,9.46E-23
7,GBM_grid_1_AutoML_20190419_130933_model_3,1,4.07E-18,0,1.12E-16,1.25E-32
8,StackedEnsemble_AllModels_AutoML_20190419_130933,1,0.000889499,0,0.000923536,8.53E-07
9,DeepLearning_1_AutoML_20190419_130933,1,0.000482948,0,0.010017749,0.000100355
10,DRF_1_AutoML_20190419_130933,1,0.001715048,0,0.010428956,0.000108763
11,GBM_2_AutoML_20190419_130933,1,1.93E-17,0,1.14E-15,1.30E-30
12,GBM_grid_1_AutoML_20190419_130933_model_1,1,9.99E-18,0,4.78E-16,2.29E-31
13,StackedEnsemble_BestOfFamily_AutoML_20190419_130933,1,0.001490219,0,0.001602978,2.57E-06
14,DeepLearning_grid_1_AutoML_20190419_130933_model_2,0.999999757,0.001272166,0.000118821,0.019004041,0.000361154
15,GBM_grid_1_AutoML_20190419_130933_model_5,0.999999332,0.007342925,0.000127681,0.024534886,0.000601961
16,DeepLearning_grid_1_AutoML_20190419_130933_model_1,0.999989623,0.005149868,0.001333614,0.039365959,0.001549679
17,XRT_1_AutoML_20190419_130933,0.999772613,0.200607206,0.004217124,0.205936584,0.042409877
18,DeepLearning_grid_1_AutoML_20190419_130933_model_3,0.998841887,0.050317637,0.017286981,0.123504371,0.01525333
