,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_3_AutoML_20190420_041549,1.0,4.1298547272494996e-17,0.0,2.5809987990271824e-15,6.661554800579758e-30
1,GBM_grid_1_AutoML_20190420_041549_model_3,1.0,2.43254183140421e-18,0.0,7.125055322207505e-17,5.076641334451751e-33
2,GBM_5_AutoML_20190420_041549,1.0,1.1661362285711114e-13,0.0,1.6881315723179574e-12,2.8497882054566984e-24
3,GBM_grid_1_AutoML_20190420_041549_model_7,1.0,0.6113862986369549,0.0,0.4574493771688677,0.209259932672185
4,StackedEnsemble_BestOfFamily_AutoML_20190420_041549,1.0,0.0015187709963263825,0.0,0.0016313316266866266,2.661242876228036e-06
5,GBM_1_AutoML_20190420_041549,1.0,8.267909033705467e-18,0.0,5.549734688984893e-16,3.0799555118122267e-31
6,GBM_grid_1_AutoML_20190420_041549_model_2,1.0,6.280877672547798e-17,0.0,3.8782640636054936e-15,1.5040932147053806e-29
7,GBM_grid_1_AutoML_20190420_041549_model_1,1.0,7.219729491747682e-17,0.0,5.2377659865424825e-15,2.743419252978133e-29
8,GBM_4_AutoML_20190420_041549,1.0,4.5343673014606237e-17,0.0,2.9011321261151814e-15,8.416567613177595e-30
9,GBM_2_AutoML_20190420_041549,1.0,1.0153812251311003e-17,0.0,6.022362890437687e-16,3.6268854784120965e-31
10,DRF_1_AutoML_20190420_041549,1.0,0.0016413515489549614,0.0,0.011006753123133269,0.00012114861431360393
11,DeepLearning_1_AutoML_20190420_041549,1.0,3.656232284049854e-05,0.0,0.001957773417040232,3.8328767524693856e-06
12,GBM_grid_1_AutoML_20190420_041549_model_4,1.0,2.336880073989438e-18,0.0,5.786639657091596e-17,3.3485198521025146e-33
13,StackedEnsemble_AllModels_AutoML_20190420_041549,1.0,0.0008601079305384652,0.0,0.001039639220472144,1.080849708743927e-06
14,GBM_grid_1_AutoML_20190420_041549_model_8,1.0,0.23954275611415066,0.0,0.21343507043547616,0.04555452929179667
15,GLM_grid_1_AutoML_20190420_041549_model_1,1.0,0.0019980892399969288,0.0,0.007838305032985193,6.1439025790121e-05
16,GBM_grid_1_AutoML_20190420_041549_model_5,1.0,1.6057509280336852e-17,0.0,4.1693313848167343e-16,1.7383324196417823e-31
17,GBM_grid_1_AutoML_20190420_041549_model_6,0.9999956306776916,0.08879432960457068,0.0010214504596527069,0.0901417424529551,0.008125533732454887
18,XRT_1_AutoML_20190420_041549,0.9993310082065584,0.3140960946989599,0.008874093608361134,0.31225220926115954,0.09750144218847497
19,DeepLearning_grid_1_AutoML_20190420_041549_model_3,0.9984747424041759,0.06214779143673953,0.006999532967993258,0.10655216154725426,0.011353363130392171
20,GBM_grid_1_AutoML_20190420_041549_model_9,0.9976337085448408,0.6468094445314589,0.023020624172256164,0.4763162402323261,0.22687716070905894
21,DeepLearning_grid_1_AutoML_20190420_041549_model_2,0.9961363660637648,0.12030170664494524,0.020748940682080344,0.1471302483812989,0.02164730998874271
22,DeepLearning_grid_1_AutoML_20190420_041549_model_1,0.9911357677093487,0.15087673202810262,0.024626835600849783,0.1577736630504857,0.0248925287523682
