,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_2_AutoML_20190420_052704,1.0,1.3201322523238674e-17,0.0,4.64704147318831e-16,2.1594994453532177e-31
1,DeepLearning_1_AutoML_20190420_052704,1.0,0.0001089105742530744,0.0,0.0036395949905415055,1.3246651695174825e-05
2,GBM_3_AutoML_20190420_052704,1.0,1.378895903307246e-17,0.0,7.650286099849246e-16,5.852687740954656e-31
3,GLM_grid_1_AutoML_20190420_052704_model_1,1.0,0.0019980892399969288,0.0,0.007838305032985193,6.1439025790121e-05
4,GBM_grid_1_AutoML_20190420_052704_model_3,1.0,3.6788778708654555e-17,0.0,2.0750711781770574e-15,4.3059203945011235e-30
5,GBM_grid_1_AutoML_20190420_052704_model_2,1.0,1.4419628253118837e-06,0.0,8.110571772173469e-06,6.578137447157705e-11
6,StackedEnsemble_BestOfFamily_AutoML_20190420_052704,1.0,0.0015277474639644193,0.0,0.0016489106365858393,2.7189062874459183e-06
7,GBM_grid_1_AutoML_20190420_052704_model_4,1.0,2.4108316920589463e-10,0.0,9.409842626105816e-09,8.854513824807802e-17
8,GBM_5_AutoML_20190420_052704,1.0,3.1609047127308826e-13,0.0,3.8998966002968415e-12,1.5209193493006866e-23
9,GBM_1_AutoML_20190420_052704,1.0,7.625608662492016e-18,0.0,5.872216528316633e-16,3.4482926955435032e-31
10,DRF_1_AutoML_20190420_052704,1.0,0.0020109127665491164,0.0,0.009544983362935432,9.110670739871421e-05
11,StackedEnsemble_AllModels_AutoML_20190420_052704,1.0,0.0008726968861786878,0.0,0.0010053051168005826,1.010638377865433e-06
12,GBM_4_AutoML_20190420_052704,1.0,8.934808142541641e-17,0.0,6.187816725713707e-15,3.8289075831022306e-29
13,GBM_grid_1_AutoML_20190420_052704_model_1,1.0,4.004127846075468e-18,0.0,8.232528610285848e-17,6.777452731917505e-33
14,DeepLearning_grid_1_AutoML_20190420_052704_model_6,0.9999997572598716,0.0007800128755207666,0.0002376425855513308,0.016856556373116175,0.0002841434927600436
15,DeepLearning_grid_1_AutoML_20190420_052704_model_1,0.9999992717796152,0.003764358637779349,0.00012768130745658836,0.03466388806098146,0.0012015851355042528
16,GBM_grid_1_AutoML_20190420_052704_model_5,0.9999837970964396,0.0668859769704202,0.002209663387409361,0.08991479347946119,0.008084670086454157
17,DeepLearning_grid_1_AutoML_20190420_052704_model_2,0.9998041694015388,0.02249311303936397,0.004745569507179282,0.07625976181243899,0.005815551271689928
18,DeepLearning_grid_1_AutoML_20190420_052704_model_5,0.9991672193050252,0.06467426282003122,0.013697825436835134,0.10966265621221234,0.012025898167517871
19,XRT_1_AutoML_20190420_052704,0.9977233403371952,0.2762771783551357,0.01977179029583225,0.28769434246490144,0.08276803468631197
20,DeepLearning_grid_1_AutoML_20190420_052704_model_4,0.9946774675504998,0.10343388831370748,0.01945234428706253,0.14195392761487854,0.020150917565290184
21,DeepLearning_grid_1_AutoML_20190420_052704_model_7,0.9928000547136248,0.1899117235591044,0.022468754490692373,0.14273297453474895,0.02037270201953729
22,DeepLearning_grid_1_AutoML_20190420_052704_model_3,0.9881769779436609,0.2753635188611283,0.030305255420872538,0.2015060326709175,0.04060468120277288
