,model_id,auc,logloss,mean_per_class_error,rmse,mse
0,GBM_grid_1_AutoML_20190420_055921_model_3,1.0,0.5948597288304369,0.0,0.4484175800890806,0.2010783261329471
1,GBM_4_AutoML_20190420_055921,1.0,2.5631884601036763e-16,0.0,1.7773964297471763e-14,3.159138068478007e-28
2,DRF_1_AutoML_20190420_055921,1.0,0.006970629293688807,0.0,0.022105323716396404,0.0004886453366066773
3,GBM_5_AutoML_20190420_055921,1.0,1.205671183013621e-13,0.0,1.5514070415804077e-12,2.4068638086652727e-24
4,GBM_3_AutoML_20190420_055921,1.0,2.4147760764558623e-17,0.0,1.4974369027649804e-15,2.242317277762377e-30
5,StackedEnsemble_BestOfFamily_AutoML_20190420_055921,1.0,0.0015524282816458727,0.0,0.0020401450459411703,4.1621918084783e-06
6,GBM_grid_1_AutoML_20190420_055921_model_1,1.0,6.155887384080828e-08,0.0,2.8597536600408225e-06,8.17819099611688e-12
7,GLM_grid_1_AutoML_20190420_055921_model_1,1.0,0.0019980892399969288,0.0,0.007838305032985193,6.1439025790121e-05
8,StackedEnsemble_AllModels_AutoML_20190420_055921,1.0,0.0008927694926304529,0.0,0.0016711551410485534,2.792759505453009e-06
9,GBM_grid_1_AutoML_20190420_055921_model_2,1.0,2.3586504075680684e-11,0.0,5.928406317964732e-10,3.514600147088417e-19
10,GBM_2_AutoML_20190420_055921,1.0,6.2590121279951185e-18,0.0,2.0971013333655148e-16,4.39783400240342e-32
11,DeepLearning_1_AutoML_20190420_055921,1.0,0.00036956718161943787,0.0,0.0074384626281499095,5.5330726270382864e-05
12,GBM_1_AutoML_20190420_055921,1.0,8.459232548534964e-18,0.0,4.594224912603521e-16,2.1106902547586826e-31
13,DeepLearning_grid_1_AutoML_20190420_055921_model_4,0.9999996358898076,0.0011583485042847407,0.0002376425855513308,0.019920615177328654,0.000396830909043217
14,DeepLearning_grid_1_AutoML_20190420_055921_model_1,0.9999984221891663,0.007023362727981468,0.0002376425855513308,0.04661300001288125,0.0021727717702008675
15,DeepLearning_grid_1_AutoML_20190420_055921_model_7,0.999992232315896,0.00539571292228217,0.0008317490494296577,0.03391060935252126,0.0011499294266593026
16,DeepLearning_grid_1_AutoML_20190420_055921_model_6,0.9999655612443052,0.013493534838578878,0.0016332769528928795,0.04914841567534218,0.0024155667633962213
17,GBM_grid_1_AutoML_20190420_055921_model_4,0.9999156478054352,0.6439712673975148,0.0010214504596527069,0.4748269921658469,0.2254606724892652
18,DeepLearning_grid_1_AutoML_20190420_055921_model_3,0.9980365661301784,0.08414317763289768,0.020920922062941542,0.13358685468551326,0.017845447744768428
19,DeepLearning_grid_1_AutoML_20190420_055921_model_2,0.9967325054762174,0.19572980083054672,0.011502240976863951,0.2014873857819206,0.0405971666292325
20,XRT_1_AutoML_20190420_055921,0.9955749384896516,0.2772528448914416,0.020705732939252826,0.29109053249321404,0.08473369810718291
21,DeepLearning_grid_1_AutoML_20190420_055921_model_5,0.9944190706839834,0.12529574596364249,0.01534675912799978,0.118260270848994,0.013985491661277423
