model_id,nfolds,max_after_balance_size,max_confusion_matrix_size,ntrees,max_depth,min_rows,nbins,nbins_top_level,nbins_cats,stopping_metric,stopping_tolerance,seed,learn_rate,learn_rate_annealing,distribution,quantile_alpha,tweedie_power,huber_alpha,min_split_improvement,histogram_type,categorical_encoding
GBM_1_AutoML_20190418_163635,5,5,20,86,15,100,20,1024,1024,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_3_AutoML_20190418_163635,5,5,20,86,15,100,20,1024,1024,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_5_AutoML_20190418_163635,5,5,20,86,15,100,20,1024,1024,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_4_AutoML_20190418_163635,5,5,20,86,15,100,20,1024,1024,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_2_AutoML_20190418_163635,5,5,20,86,15,100,20,1024,1024,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_grid_1_AutoML_20190418_163635_model_1,5,5,20,4,10,5,20,1024,1024,deviance,0.006802092,-2.52E+18,0.008,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_grid_1_AutoML_20190418_165439_model_1,5,5,20,114,9,15,20,1024,1024,deviance,0.006802092,8.80E+18,0.1,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,AUTO
GBM_grid_1_AutoML_20190418_165439_model_2,5,5,20,447,11,10,20,1024,1024,deviance,0.006802092,-7.38E+18,0.001,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,AUTO
GBM_grid_1_AutoML_20190418_163635_model_1,5,5,20,4,10,5,20,1024,1024,deviance,0.006802092,8.80E+18,0.1,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,AUTO
GBM_1_AutoML_20190418_165439,5,5,20,79,15,100,20,1024,1024,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_3_AutoML_20190418_165439,5,5,20,79,15,100,20,1024,1024,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_1_AutoML_20190418_163635,5,5,20,79,15,100,20,1024,1024,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_2_AutoML_20190418_165439,5,5,20,79,15,100,20,1024,1024,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_4_AutoML_20190418_165439,5,5,20,86,15,100,20,1024,1024,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_3_AutoML_20190418_163635,5,5,20,86,15,100,20,1024,1024,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_5_AutoML_20190418_163635,5,5,20,86,15,100,20,1024,1024,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_4_AutoML_20190418_163635,5,5,20,86,15,100,20,1024,1024,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_2_AutoML_20190418_163635,5,5,20,86,15,100,20,1024,1024,deviance,0.006802092,-4.30E+18,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_5_AutoML_20190418_165439,5,5,20,79,15,100,20,1024,1024,deviance,0.006802092,-8.96E+17,0.1,1,gaussian,0.5,1.5,0.9,1.00E-05,AUTO,AUTO
GBM_grid_1_AutoML_20190418_172432_model_2,5,5,20,115,10,10,20,1024,1024,deviance,0.006802092,5.53E+18,0.08,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,AUTO
GBM_grid_1_AutoML_20190418_165439_model_1,5,5,20,114,9,15,20,1024,1024,deviance,0.006802092,8.80E+18,0.1,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,AUTO
GBM_grid_1_AutoML_20190418_172432_model_4,5,5,20,159,4,15,20,1024,1024,deviance,0.006802092,5.08E+18,0.1,1,gaussian,0.5,1.5,0.9,0.0001,AUTO,AUTO
